iter	RMSE
0	4.901263038
1	4.802004674
2	4.70248589
3	4.608621402
4	4.5301058
5	4.445540137
6	4.363768254
7	4.280444476
8	4.196763672
9	4.118031135
10	4.042242624
11	3.965343203
12	3.887479008
13	3.811428502
14	3.735095906
15	3.666626876
16	3.607764596
17	3.546419766
18	3.487166224
19	3.42710039
20	3.365829264
21	3.310155169
22	3.248668422
23	3.193482267
24	3.139944197
25	3.089859628
26	3.040318393
27	2.985906596
28	2.936493811
29	2.891597478
30	2.850000231
31	2.805971677
32	2.760237157
33	2.718773552
34	2.674466895
35	2.631281969
36	2.587785856
37	2.548198038
38	2.511350536
39	2.478201219
40	2.442543151
41	2.405515272
42	2.371847731
43	2.338994238
44	2.305636458
45	2.275697953
46	2.243853256
47	2.210509945
48	2.180783124
49	2.152097041
50	2.128756346
51	2.101461791
52	2.072740253
53	2.046499719
54	2.022058003
55	1.997186969
56	1.973871226
57	1.949982989
58	1.927377626
59	1.90581581
60	1.883285637
61	1.863472764
62	1.845130037
63	1.825569598
64	1.80455139
65	1.785551792
66	1.766714649
67	1.748163239
68	1.731214347
69	1.713693453
70	1.697350888
71	1.680124991
72	1.664621901
73	1.649174501
74	1.634021828
75	1.621281153
76	1.606825609
77	1.592323903
78	1.576845407
79	1.564166066
80	1.551888437
81	1.540805553
82	1.526556651
83	1.514333873
84	1.501863054
85	1.490594175
86	1.480446402
87	1.469682605
88	1.456686056
89	1.445561737
90	1.435693762
91	1.426875744
92	1.418477586
93	1.410132467
94	1.401786282
95	1.393763843
96	1.384321336
97	1.376389374
98	1.366613736
99	1.358614187
100	1.350626993
101	1.343943441
102	1.335274932
103	1.329013109
104	1.321836094
105	1.313885597
106	1.306319112
107	1.299985339
108	1.29321896
109	1.286780694
110	1.280507546
111	1.27461299
112	1.26989537
113	1.264803556
114	1.258420402
115	1.251979101
116	1.247252752
117	1.241829678
118	1.235681519
119	1.229923084
120	1.225708218
121	1.220852802
122	1.216046766
123	1.21172674
124	1.205953681
125	1.202498121
126	1.198890144
127	1.19512026
128	1.190109569
129	1.186142006
130	1.182043786
131	1.176889041
132	1.172532118
133	1.169033614
134	1.165347217
135	1.16204692
136	1.158168325
137	1.154945659
138	1.152229173
139	1.149367907
140	1.145909052
141	1.142736727
142	1.139775036
143	1.136412841
144	1.131447964
145	1.127872698
146	1.124237473
147	1.120697532
148	1.117903723
149	1.114784621
150	1.11125532
151	1.108234166
152	1.103672427
153	1.100668419
154	1.097512853
155	1.09357648
156	1.090287444
157	1.087775043
158	1.084545716
159	1.08188117
160	1.080302791
161	1.077378496
162	1.074956756
163	1.071950014
164	1.069431347
165	1.066208947
166	1.063522307
167	1.061309689
168	1.059221653
169	1.057709646
170	1.055309469
171	1.052853845
172	1.050356327
173	1.047807813
174	1.04546971
175	1.043251567
176	1.040976571
177	1.038647973
178	1.035229605
179	1.033480037
180	1.031438515
181	1.029063892
182	1.027250916
183	1.024929909
184	1.023184205
185	1.020583102
186	1.018179262
187	1.015836599
188	1.013881553
189	1.010811536
190	1.009169135
191	1.007280775
192	1.005680689
193	1.003532403
194	1.000912227
195	0.9987034876
196	0.996086362
197	0.9938310548
198	0.9918783361
199	0.9900905791
200	0.9881481887
201	0.9849186643
202	0.9827862486
203	0.9810879822
204	0.9795048137
205	0.9778945857
206	0.97627808
207	0.9749909454
208	0.9733412079
209	0.971947862
210	0.9704848797
211	0.9687812098
212	0.9667386412
213	0.9650392303
214	0.9636953891
215	0.9622049161
216	0.9605223931
217	0.9588338643
218	0.957512843
219	0.9553594223
220	0.9536365489
221	0.9517692013
222	0.9497350747
223	0.948268576
224	0.9471126989
225	0.9457248158
226	0.9431671997
227	0.9408493008
228	0.9393244315
229	0.9382916811
230	0.9368060234
231	0.9349589166
232	0.9336476576
233	0.9325512949
234	0.9309669683
235	0.9295736578
236	0.9280801955
237	0.9262827562
238	0.9248121432
239	0.9235172986
240	0.9222513374
241	0.920624871
242	0.9191320827
243	0.9173045663
244	0.9155471524
245	0.9138043896
246	0.9124031347
247	0.9109979735
248	0.9093796295
249	0.9080901667
250	0.9066738541
251	0.9054930597
252	0.904165055
253	0.9024456859
254	0.9001498945
255	0.8989873747
256	0.8979392635
257	0.896218417
258	0.8946248976
259	0.8927553437
260	0.8913082854
261	0.8900040337
262	0.8879829746
263	0.8863155611
264	0.8849988132
265	0.8836006004
266	0.8814369414
267	0.8801635169
268	0.8790240128
269	0.8772174742
270	0.875970418
271	0.8750569359
272	0.8732912376
273	0.8717499695
274	0.8703812684
275	0.8688358294
276	0.8674081826
277	0.8656374045
278	0.8644185656
279	0.8630967551
280	0.8609176201
281	0.8588356021
282	0.8574728534
283	0.8557429342
284	0.8543312735
285	0.8523093764
286	0.8505465901
287	0.8493754789
288	0.8482789814
289	0.8468313596
290	0.8454302731
291	0.8440525874
292	0.8426704295
293	0.8407057494
294	0.8394356371
295	0.8377618308
296	0.8364598677
297	0.8351037756
298	0.8339244302
299	0.8327288353
300	0.8314103519
301	0.8300820824
302	0.8281933916
303	0.8270396719
304	0.8255785074
305	0.8241558623
306	0.8231760971
307	0.8216104018
308	0.8197642513
309	0.8181100296
310	0.8170877602
311	0.8152698271
312	0.8140363308
313	0.8127937798
314	0.8116549434
315	0.8101407009
316	0.8088712312
317	0.8074081681
318	0.806090703
319	0.8045301307
320	0.8031119669
321	0.8017795244
322	0.8001295961
323	0.79899698
324	0.7976625186
325	0.7962859043
326	0.7951095987
327	0.7935320575
328	0.7922049905
329	0.7911563888
330	0.7897794183
331	0.7886222221
332	0.7871886624
333	0.7860051504
334	0.7846714354
335	0.7834487843
336	0.7822204663
337	0.7811203762
338	0.7798937279
339	0.7783886891
340	0.777307304
341	0.7762178172
342	0.7750348984
343	0.7738965414
344	0.7724365985
345	0.7712653846
346	0.7697204564
347	0.7686184937
348	0.7678255906
349	0.7666506109
350	0.7654241414
351	0.7643564848
352	0.763176854
353	0.7620560677
354	0.7604644026
355	0.7592848928
356	0.7583926626
357	0.7573415916
358	0.7562109027
359	0.7549884824
360	0.7535677138
361	0.7523942954
362	0.7510743234
363	0.7501333038
364	0.7491963525
365	0.7480104872
366	0.7469368169
367	0.7454097512
368	0.7445999833
369	0.7437991807
370	0.7425852938
371	0.7417995484
372	0.7408785165
373	0.7397488464
374	0.7387421473
375	0.7377125942
376	0.7363102994
377	0.7352432724
378	0.7343326458
379	0.7328096321
380	0.7320771017
381	0.7308918168
382	0.7295091701
383	0.7283731034
384	0.7274013052
385	0.7265348061
386	0.7254831196
387	0.7243469319
388	0.7232768611
389	0.7219171816
390	0.7207315367
391	0.7198461932
392	0.7189911755
393	0.7178224727
394	0.7166325983
395	0.7153329594
396	0.7140480526
397	0.7131295647
398	0.7121286594
399	0.711350063
400	0.7106605256
401	0.7091975996
402	0.7082934179
403	0.7071851914
404	0.7062350869
405	0.705290869
406	0.7042865528
407	0.7032013996
408	0.7023570902
