iter	Passed	Remaining
0	4	4705
1	8	4215
2	11	3960
3	15	3830
4	18	3748
5	22	3691
6	25	3648
7	29	3604
8	32	3567
9	35	3559
10	39	3550
11	42	3529
12	46	3510
13	49	3492
14	53	3482
15	56	3469
16	59	3463
17	63	3450
18	66	3451
19	70	3445
20	73	3435
21	77	3430
22	80	3431
23	84	3430
24	87	3422
25	91	3415
26	94	3408
27	98	3404
28	101	3397
29	104	3393
30	108	3387
31	111	3383
32	115	3377
33	118	3378
34	122	3373
35	125	3368
36	129	3360
37	132	3358
38	136	3355
39	139	3350
40	143	3345
41	146	3340
42	149	3335
43	153	3330
44	156	3326
45	160	3321
46	163	3316
47	167	3314
48	170	3310
49	174	3306
50	177	3302
51	181	3306
52	185	3305
53	188	3302
54	191	3296
55	195	3293
56	198	3288
57	202	3288
58	205	3284
59	209	3278
60	212	3274
61	216	3270
62	219	3267
63	223	3263
64	226	3258
65	230	3255
66	233	3254
67	237	3250
68	240	3246
69	244	3241
70	247	3238
71	251	3235
72	254	3231
73	257	3226
74	261	3222
75	264	3219
76	268	3214
77	271	3211
78	275	3207
79	278	3205
80	282	3204
81	285	3200
82	289	3195
83	292	3191
84	296	3187
85	299	3185
86	303	3181
87	306	3178
88	310	3174
89	313	3173
90	321	3208
91	325	3208
92	328	3207
93	332	3203
94	335	3198
95	339	3194
96	342	3190
97	346	3186
98	349	3182
99	353	3178
100	356	3174
101	360	3169
102	363	3165
103	366	3161
104	370	3157
105	373	3153
106	377	3148
107	380	3146
108	384	3141
109	387	3137
110	391	3132
111	394	3126
112	398	3125
113	401	3121
114	405	3116
115	408	3112
116	411	3108
117	415	3104
118	418	3100
119	422	3096
120	425	3093
121	429	3090
122	432	3086
123	436	3082
124	439	3078
125	443	3074
126	446	3070
127	450	3066
128	453	3062
129	457	3059
130	460	3055
131	464	3051
132	467	3047
133	471	3044
134	474	3040
135	478	3036
136	481	3033
137	485	3030
138	488	3026
139	491	3021
140	495	3017
141	498	3013
142	502	3009
143	505	3006
144	509	3002
145	512	2999
146	516	2995
147	519	2991
148	523	2987
149	526	2984
150	530	2980
151	533	2976
152	536	2972
153	540	2969
154	543	2965
155	547	2962
156	550	2958
157	554	2954
158	557	2951
159	561	2947
160	564	2943
161	568	2939
162	571	2936
163	575	2932
164	578	2929
165	582	2926
166	585	2922
167	589	2919
168	593	2918
169	597	2918
170	601	2915
171	604	2911
172	608	2907
173	611	2904
174	615	2900
175	618	2895
176	621	2891
177	625	2890
178	629	2886
179	632	2882
180	636	2878
181	639	2875
182	643	2872
183	646	2868
184	650	2865
185	653	2861
186	657	2858
187	660	2854
188	664	2850
189	667	2847
190	671	2843
191	674	2839
192	678	2835
193	681	2832
194	685	2828
195	688	2824
196	692	2821
197	695	2817
198	699	2814
199	702	2810
200	706	2806
201	709	2803
202	713	2799
203	716	2795
204	719	2792
205	723	2788
206	726	2784
207	730	2781
208	733	2777
209	737	2773
210	740	2770
211	744	2766
212	747	2762
213	751	2759
214	754	2755
215	758	2752
216	761	2748
217	765	2744
218	768	2741
219	772	2738
220	775	2734
221	779	2731
222	783	2728
223	786	2724
224	790	2721
225	793	2718
226	797	2716
227	801	2713
228	805	2711
229	809	2708
230	812	2706
231	816	2703
232	820	2701
233	824	2700
234	828	2698
235	832	2696
236	837	2694
237	841	2694
238	845	2693
239	850	2692
240	854	2691
241	858	2690
242	863	2688
243	867	2687
244	872	2687
245	879	2694
246	883	2693
247	888	2694
248	892	2692
249	897	2691
250	900	2688
251	905	2686
252	908	2683
253	912	2679
254	915	2675
255	919	2673
256	923	2670
257	927	2666
258	930	2662
259	934	2658
260	938	2655
261	941	2652
262	944	2648
263	948	2644
264	952	2641
265	956	2638
266	959	2634
267	963	2630
268	966	2626
269	970	2623
270	973	2619
271	977	2615
272	980	2612
273	984	2609
274	988	2606
275	992	2602
276	995	2598
277	998	2594
278	1003	2592
279	1007	2589
280	1010	2585
281	1014	2581
282	1018	2579
283	1021	2575
284	1025	2571
285	1028	2567
286	1032	2564
287	1035	2560
288	1039	2556
289	1042	2552
290	1046	2549
291	1050	2546
292	1053	2542
293	1057	2538
294	1060	2535
295	1064	2532
296	1068	2529
297	1072	2525
298	1075	2521
299	1079	2517
300	1082	2514
301	1086	2511
302	1090	2508
303	1093	2504
304	1097	2500
305	1101	2497
306	1104	2493
307	1108	2489
308	1111	2485
309	1115	2482
310	1118	2479
311	1122	2475
312	1125	2471
313	1129	2467
314	1133	2464
315	1136	2460
316	1140	2456
317	1143	2452
318	1147	2449
319	1151	2446
320	1155	2444
321	1159	2440
322	1163	2437
323	1166	2434
324	1170	2430
325	1173	2426
326	1177	2422
327	1181	2420
328	1184	2416
329	1188	2412
330	1191	2408
331	1195	2405
332	1199	2402
333	1202	2398
334	1206	2394
335	1209	2390
336	1213	2387
337	1216	2383
338	1220	2379
339	1223	2375
340	1227	2371
341	1230	2367
342	1234	2364
343	1237	2360
344	1244	2363
345	1248	2359
346	1251	2355
347	1254	2351
348	1258	2347
349	1261	2343
350	1265	2339
351	1268	2336
352	1272	2332
353	1275	2328
354	1279	2324
355	1283	2321
356	1286	2317
357	1289	2313
358	1293	2309
359	1297	2307
360	1301	2304
361	1305	2300
362	1309	2297
363	1313	2294
364	1317	2291
365	1321	2289
366	1325	2285
367	1329	2282
368	1332	2279
369	1336	2276
370	1340	2272
371	1346	2272
372	1349	2268
373	1353	2265
374	1357	2261
375	1361	2258
376	1364	2255
377	1368	2252
378	1372	2248
379	1376	2245
380	1379	2241
381	1383	2238
382	1387	2234
383	1390	2231
384	1394	2227
385	1398	2223
386	1401	2220
387	1405	2217
388	1409	2214
389	1413	2211
390	1417	2207
391	1421	2204
392	1426	2202
393	1430	2200
394	1435	2198
395	1439	2195
396	1443	2192
397	1446	2188
398	1450	2185
399	1454	2181
400	1458	2178
401	1462	2175
402	1465	2171
403	1469	2168
404	1473	2165
405	1477	2161
406	1481	2158
407	1485	2154
408	1488	2151
409	1492	2148
410	1496	2144
411	1500	2140
412	1503	2137
413	1507	2133
414	1510	2129
415	1514	2125
416	1517	2121
417	1521	2118
418	1525	2114
419	1528	2110
420	1531	2106
421	1535	2103
422	1539	2100
423	1543	2096
424	1546	2092
425	1549	2088
426	1553	2084
427	1556	2080
428	1560	2076
429	1563	2072
430	1567	2068
431	1570	2065
432	1574	2061
433	1578	2057
434	1581	2054
435	1584	2050
436	1588	2046
437	1592	2043
438	1596	2040
439	1601	2037
440	1605	2034
441	1609	2031
442	1612	2028
443	1616	2024
444	1621	2021
445	1625	2019
446	1629	2016
447	1633	2013
448	1637	2010
449	1641	2006
450	1645	2003
451	1649	2000
452	1653	1996
453	1657	1993
454	1661	1990
455	1665	1986
456	1668	1982
457	1672	1978
458	1675	1975
459	1679	1971
460	1682	1967
461	1686	1963
462	1689	1959
463	1693	1956
464	1697	1952
465	1701	1949
466	1704	1945
467	1708	1941
468	1711	1937
469	1715	1934
470	1718	1930
471	1722	1926
472	1725	1922
473	1729	1918
474	1732	1915
475	1736	1911
